0,24.711385519429427,113.56223687073859,88.3685,60.890432347748686,0,500,0
1,24.71138562245016,113.56223707440867,121.30489999999999,36.32201447705722,0,500,0
1,24.711449626325546,113.56228887110873,121.7409,79.8345864238014,0,500,0
2,24.71149451126377,113.56256443432092,121.7757,344.3576435047535,0,500,0
2,24.711713815414726,113.56249683845522,117.19109999999999,133.6357255693809,0,500,0
3,24.71154554718846,113.56269110726502,117.34939999999999,19.747903658953817,0,500,0
3,24.71192872431229,113.56284253355443,117.8099,203.3363639206593,0,500,0
4,24.711689703452482,113.56272901978093,117.6424,163.47322936555156,0,500,0
4,24.71125143417261,113.56287217289831,121.5354,325.44022959417543,0,500,0
5,24.711467887251715,113.5627080460649,121.69669999999999,259.10748889923724,0,500,0
5,24.711385519429427,113.56223687073859,121.6832,43.53665961396109,0,500,0
0,24.711385864357098,113.56223723152104,88.4874,0,0,500,0
